 disease,code
Exudative cysts of iris or anterior chamber,3646
Primary cyst of pars plana,3646
Exudative cyst of pars plana,3646
Adhesions of iris_ unspecified,3647
Posterior synechiae of iris,3647
Anterior synechiae of iris,3647
Goniosynechiae,3647
Adhesions and disruptions of pupillary membranes,3647
Pupillary abnormalities,3647
Iridodialysis,3647
Recession of chamber angle of eye,3647
Floppy iris syndrome,3648
Plateau iris syndrome,3648
Other disorders of iris and ciliary body,3648
 Unspecified disorder of iris and ciliary body,3649
Preglaucoma_ unspecified,3650
Open angle with borderline findings_ low risk,3650
Anatomical narrow angle borderline glaucoma,3650
Steroid responders borderline glaucoma,3650
Ocular hypertension,3650
Open angle with borderline findings_ high risk,3650
Primary angle closure without glaucoma damage,3650
Open-angle glaucoma_ unspecified,3651
Primary open angle glaucoma,3651
Low tension open-angle glaucoma,3651
Pigmentary open-angle glaucoma,3651
Glaucoma of childhood,3651
Residual stage of open angle glaucoma,3651
Primary angle-closure glaucoma_ unspecified,3652
Intermittent angle-closure glaucoma,3652
Acute angle-closure glaucoma,3652
Chronic angle-closure glaucoma,3652
Residual stage of angle-closure glaucoma,3652
Corticosteroid-induced glaucoma_ glaucomatous stage,3653
Corticosteroid-induced glaucoma_ residual stage,3653
Glaucoma associated with chamber angle anomalies,3654
Glaucoma associated with anomalies of iris,3654
Glaucoma associated with other anterior segment anomalies,3654
Glaucoma associated with systemic syndromes,3654
Phacolytic glaucoma,3655
Pseudoexfoliation glaucoma,3655
Glaucoma associated with other lens disorders,3655
Glaucoma associated with unspecified ocular disorder,3656
Glaucoma associated with pupillary block,3656
Glaucoma associated with ocular inflammations,3656
Glaucoma associated with vascular disorders,3656
Glaucoma associated with tumors or cysts,3656
Glaucoma associated with ocular trauma,3656
Glaucoma stage_ unspecified,3657
Mild stage glaucoma,3657
Moderate stage glaucoma,3657
Severe stage glaucoma,3657
Indeterminate stage glaucoma,3657
Hypersecretion glaucoma,3658
Glaucoma with increased episcleral venous pressure,3658
Aqueous misdirection,3658
Other specified glaucoma,3658
 Unspecified glaucoma,3659
Nonsenile cataract_ unspecified,3660
Anterior subcapsular polar cataract,3660
Posterior subcapsular polar cataract,3660
Cortical_ lamellar_ or zonular cataract,3660
Nuclear cataract,3660
Other and combined forms of nonsenile cataract,3660
Senile cataract_ unspecified,3661
Pseudoexfoliation of lens capsule,3661
Incipient senile cataract,3661
Anterior subcapsular polar senile cataract,3661
Posterior subcapsular polar senile cataract,3661
Cortical senile cataract,3661
Senile nuclear sclerosis,3661
Total or mature cataract,3661
Hypermature cataract,3661
Other and combined forms of senile cataract,3661
Traumatic cataract_ unspecified,3662
Localized traumatic opacities,3662
Total traumatic cataract,3662
Partially resolved traumatic cataract,3662
Cataracta complicata_ unspecified,3663
Glaucomatous flecks (subcapsular),3663
Cataract in inflammatory ocular disorders,3663
Cataract with neovascularization,3663
Cataract in degenerative ocular disorders,3663
Diabetic cataract,3664
Tetanic cataract,3664
Myotonic cataract,3664
Cataract associated with other syndromes,3664
Toxic cataract,3664
Cataract associated with radiation and other physical influences,3664
After-cataract_ unspecified,3665
Soemmering's ring,3665
Other after-cataract_ not obscuring vision,3665
After-cataract_ obscuring vision,3665
 Other cataract,3668
 Unspecified cataract,3669
 Hypermetropia,3670
 Myopia,3671
Astigmatism_ unspecified,3672
Regular astigmatism,3672
Irregular astigmatism,3672
Anisometropia,3673
Aniseikonia,3673
 Presbyopia,3674
Paresis of accommodation,3675
Total or complete internal ophthalmoplegia,3675
Spasm of accommodation,3675
Transient refractive change,3678
Other disorders of refraction and accommodation,3678
 Unspecified disorder of refraction and accommodation,3679
Amblyopia_ unspecified,3680
Strabismic amblyopia,3680
Deprivation amblyopia,3680
Refractive amblyopia,3680
Subjective visual disturbance_ unspecified,3681
Sudden visual loss,3681
Transient visual loss,3681
Visual discomfort,3681
Visual distortions of shape and size,3681
Other visual distortions and entoptic phenomena,3681
Psychophysical visual disturbances,3681
 Diplopia,3682
Binocular vision disorder_ unspecified,3683
Suppression of binocular vision,3683
Simultaneous visual perception without fusion,3683
Fusion with defective stereopsis,3683
Abnormal retinal correspondence,3683
Visual field defect_ unspecified,3684
Scotoma involving central area,3684
Scotoma of blind spot area,3684
Sector or arcuate visual field defects,3684
Other localized visual field defect,3684
Generalized visual field contraction or constriction,3684
Homonymous bilateral field defects,3684
Heteronymous bilateral field defects,3684
Protan defect,3685
Deutan defect,3685
Tritan defect,3685
Achromatopsia,3685
Acquired color vision deficiencies,3685
Other color vision deficiencies,3685
Night blindness_ unspecified,3686
Congenital night blindness,3686
Acquired night blindness,3686
Abnormal dark adaptation curve,3686
Other night blindness,3686
 Other specified visual disturbances,3688
 Unspecified visual disturbance,3689
Profound impairment_ both eyes_ impairment level not further specified,3690
Better eye: total vision impairment; lesser eye: total vision impairment,3690
Better eye: near-total vision impairment; lesser eye: not further specified,3690
Better eye: near-total vision impairment; lesser eye: total vision impairment,3690
Better eye: near-total vision impairment; lesser eye: near-total vision impairment,3690
Better eye: profound vision impairment; lesser eye: not further specified,3690
Better eye: profound vision impairment; lesser eye: total vision impairment,3690
Better eye: profound vision impairment; lesser eye: near-total vision impairment,3690
Better eye: profound vision impairment; lesser eye: profound vision impairment,3690
Moderate or severe impairment_ better eye_ impairment level not further specified,3691
Better eye: severe vision impairment; lesser eye: blind_ not further specified,3691
Better eye: severe vision impairment; lesser eye: total vision impairment,3691
Better eye: severe vision impairment; lesser eye: near-total vision impairment,3691
Better eye: severe vision impairment; lesser eye: profound vision impairment,3691
Better eye: moderate vision impairment; lesser eye: blind_ not further specified,3691
Better eye: moderate vision impairment; lesser eye: total vision impairment,3691
Better eye: moderate vision impairment; lesser eye: near-total vision impairment,3691
Better eye: moderate vision impairment; lesser eye: profound vision impairment,3691
Moderate or severe impairment_ both eyes_ impairment level not further specified,3692
Better eye: severe vision impairment; lesser eye; impairment not further specified,3692
Better eye: severe vision impairment; lesser eye: severe vision impairment,3692
Better eye: moderate vision impairment; lesser eye: impairment not further specified,3692
Better eye: moderate vision impairment; lesser eye: severe vision impairment,3692
Better eye: moderate vision impairment; lesser eye: moderate vision impairment,3692
 Unqualified visual loss_ both eyes,3693
 Legal blindness_ as defined in U.S.A.,3694
Profound impairment_ one eye_ impairment level not further specified,3696
One eye: total vision impairment; other eye: not specified,3696
One eye: total vision impairment; other eye: near-normal vision,3696
One eye: total vision impairment; other eye: normal vision,3696
One eye: near-total vision impairment; other eye: vision not specified,3696
One eye: near-total vision impairment; other eye: near-normal vision,3696
One eye: near-total vision impairment; other eye: normal vision,3696
One eye: profound vision impairment; other eye: vision not specified,3696
One eye: profound vision impairment; other eye: near-normal vision,3696
One eye: profound vision impairment; other eye: normal vision,3696
Moderate or severe impairment_ one eye_ impairment level not further specified,3697
One eye: severe vision impairment; other eye: vision not specified,3697
One eye: severe vision impairment; other eye: near-normal vision,3697
One eye: severe vision impairment; other eye: normal vision,3697
One eye: moderate vision impairment; other eye: vision not specified,3697
One eye: moderate vision impairment; other eye: near-normal vision,3697
One eye: moderate vision impairment; other eye: normal vision,3697
 Unqualified visual loss_ one eye,3698
 Unspecified visual loss,3699
Corneal ulcer_ unspecified,3700
Marginal corneal ulcer,3700
Ring corneal ulcer,3700
Central corneal ulcer,3700
Hypopyon ulcer,3700
Mycotic corneal ulcer,3700
Perforated corneal ulcer,3700
Mooren's ulcer,3700
Superficial keratitis_ unspecified,3702
Punctate keratitis,3702
Macular keratitis,3702
Filamentary keratitis,3702
Photokeratitis,3702
Phlyctenular keratoconjunctivitis,3703
Limbar and corneal involvement in vernal conjunctivitis,3703
Keratoconjunctivitis sicca_ not specified as Sjogren's,3703
Exposure keratoconjunctivitis,3703
Neurotrophic keratoconjunctivitis,3703
Keratoconjunctivitis_ unspecified,3704
Keratitis or keratoconjunctivitis in exanthema,3704
Other keratoconjunctivitis,3704
Interstitial keratitis_ unspecified,3705
Diffuse interstitial keratitis,3705
Sclerosing keratitis,3705
Corneal abscess,3705
Other interstitial and deep keratitis,3705
Corneal neovascularization_ unspecified,3706
Localized vascularization of cornea,3706
Pannus (corneal),3706
Deep vascularization of cornea,3706
Ghost vessels (corneal),3706
 Other forms of keratitis,3708
 Unspecified keratitis,3709
Corneal opacity_ unspecified,3710
Minor opacity of cornea,3710
Peripheral opacity of cornea,3710
Central opacity of cornea,3710
Adherent leucoma,3710
Phthisical cornea,3710
Corneal deposit_ unspecified,3711
Anterior corneal pigmentations,3711
Stromal corneal pigmentations,3711
Posterior corneal pigmentations,3711
Kayser-Fleischer ring,3711
Other corneal deposits associated with metabolic disorders,3711
Argentous corneal deposits,3711
Corneal edema_ unspecified,3712
Idiopathic corneal edema,3712
Secondary corneal edema,3712
Bullous keratopathy,3712
Corneal edema due to wearing of contact lenses,3712
Corneal membrane change_ unspecified,3713
Folds and rupture of bowman's membrane,3713
Folds in descemet's membrane,3713
Rupture in descemet's membrane,3713
Corneal degeneration_ unspecified,3714
Senile corneal changes,3714
Recurrent erosion of cornea,3714
Band-shaped keratopathy,3714
Other calcerous degenerations of cornea,3714
Keratomalacia NOS,3714
Nodular degeneration of cornea,3714
Peripheral degenerations of cornea,3714
Other corneal degenerations,3714
Hereditary corneal dystrophy_ unspecified,3715
Juvenile epithelial corneal dystrophy,3715
Other anterior corneal dystrophies,3715
Granular corneal dystrophy,3715
Lattice corneal dystrophy,3715
Macular corneal dystrophy,3715
Other stromal corneal dystrophies,3715
Endothelial corneal dystrophy,3715
Other posterior corneal dystrophies,3715
Keratoconus_ unspecified,3716
Keratoconus_ stable condition,3716
Keratoconus_ acute hydrops,3716
Corneal deformity_ unspecified,3717
Corneal ectasia,3717
Descemetocele,3717
Corneal staphyloma,3717
Corneal anesthesia and hypoesthesia,3718
Corneal disorder due to contact lens,3718
Other corneal disorders,3718
 Unspecified corneal disorder,3719
Acute conjunctivitis_ unspecified,3720
Serous conjunctivitis_ except viral,3720
Acute follicular conjunctivitis,3720
Other mucopurulent conjunctivitis,3720
Pseudomembranous conjunctivitis,3720
Acute atopic conjunctivitis,3720
Acute chemical conjunctivitis,3720
Chronic conjunctivitis_ unspecified,3721
Simple chronic conjunctivitis,3721
Chronic follicular conjunctivitis,3721
Vernal conjunctivitis,3721
Other chronic allergic conjunctivitis,3721
Parasitic conjunctivitis,3721
Blepharoconjunctivitis_ unspecified,3722
Angular blepharoconjunctivitis,3722
Contact blepharoconjunctivitis,3722
Conjunctivitis_ unspecified,3723
Rosacea conjunctivitis,3723
Conjunctivitis in mucocutaneous disease,3723
Pingueculitis,3723
Other conjunctivitis,3723
Pterygium_ unspecified,3724
Peripheral pterygium_ stationary,3724
Peripheral pterygium_ progressive,3724
Central pterygium,3724
Double pterygium,3724
Recurrent pterygium,3724
Conjunctival degeneration_ unspecified,3725
Pinguecula,3725
Pseudopterygium,3725
Conjunctival xerosis,3725
Conjunctival concretions,3725
Conjunctival pigmentations,3725
Conjunctival deposits,3725
Granuloma of conjunctiva,3726
Localized adhesions and strands of conjunctiva,3726
Symblepharon,3726
Scarring of conjunctiva,3726
Hyperemia of conjunctiva,3727
Conjunctival hemorrhage,3727
Conjunctival edema,3727
Vascular abnormalities of conjunctiva,3727
Conjunctival cysts,3727
Conjunctivochalasis,3728
Other disorders of conjunctiva,3728
 Unspecified disorder of conjunctiva,3729
Blepharitis_ unspecified,3730
Ulcerative blepharitis,3730
Squamous blepharitis,3730
Hordeolum externum,3731
Hordeolum internum,3731
Abscess of eyelid,3731
 Chalazion,3732
Eczematous dermatitis of eyelid,3733
Contact and allergic dermatitis of eyelid,3733
Xeroderma of eyelid,3733
Discoid lupus erythematosus of eyelid,3733
 Infective dermatitis of eyelid of types resulting in deformity,3734
 Other infective dermatitis of eyelid,3735
 Parasitic infestation of eyelid,3736
 Other inflammations of eyelids,3738
 Unspecified inflammation of eyelid,3739
Entropion_ unspecified,3740
Senile entropion,3740
Mechanical entropion,3740
Spastic entropion,3740
Cicatricial entropion,3740
Trichiasis of eyelid without entropion,3740
Ectropion_ unspecified,3741
Senile ectropion,3741
Mechanical ectropion,3741
Spastic ectropion,3741
Cicatricial ectropion,3741
Lagophthalmos_ unspecified,3742
Paralytic lagophthalmos,3742
Mechanical lagophthalmos,3742
Cicatricial lagophthalmos,3742
Ptosis of eyelid_ unspecified,3743
Paralytic ptosis,3743
Myogenic ptosis,3743
Mechanical ptosis,3743
Blepharochalasis,3743
Lid retraction or lag,3744
Abnormal innervation syndrome of eyelid,3744
Sensory disorders of eyelid,3744
Other sensorimotor disorders of eyelid,3744
Blepharophimosis,3744
Degenerative disorder of eyelid_ unspecified,3745
Xanthelasma of eyelid,3745
Hyperpigmentation of eyelid,3745
Hypopigmentation of eyelid,3745
Hypertrichosis of eyelid,3745
Hypotrichosis of eyelid,3745
Other degenerative disorders of skin affecting eyelid,3745
Hemorrhage of eyelid,3748
Edema of eyelid,3748
Elephantiasis of eyelid,3748
Cysts of eyelids,3748
Vascular anomalies of eyelid,3748
Retained foreign body of eyelid,3748
Dermatochalasis,3748
Other disorders of eyelid,3748
 Unspecified disorder of eyelid,3749
Dacryoadenitis_ unspecified,3750
Acute dacryoadenitis,3750
Chronic dacryoadenitis,3750
Chronic enlargement of lacrimal gland,3750
Dacryops,3751
Other lacrimal cysts and cystic degeneration,3751
Primary lacrimal atrophy,3751
Secondary lacrimal atrophy,3751
Tear film insufficiency_ unspecified,3751
Dislocation of lacrimal gland,3751
Epiphora_ unspecified as to cause,3752
Epiphora due to excess lacrimation,3752
Epiphora due to insufficient drainage,3752
Dacryocystitis_ unspecified,3753
Acute canaliculitis_ lacrimal,3753
Acute dacryocystitis,3753
Phlegmonous dacryocystitis,3753
Chronic canaliculitis,3754
Chronic dacryocystitis,3754
Lacrimal mucocele,3754
Eversion of lacrimal punctum,3755
Stenosis of lacrimal punctum,3755
Stenosis of lacrimal canaliculi,3755
Stenosis of lacrimal sac,3755
Obstruction of nasolacrimal duct_ neonatal,3755
Stenosis of nasolacrimal duct_ acquired,3755
Dacryolith,3755
Lacrimal fistula,3756
Other changes of lacrimal passages,3756
Granuloma of lacrimal passages,3758
Other disorders of lacrimal system,3758
 Unspecified disorder of lacrimal system,3759
Acute inflammation of orbit_ unspecified,3760
Orbital cellulitis,3760
Orbital periostitis,3760
Orbital osteomyelitis,3760
Orbital tenonitis,3760
Chronic inflammation of orbit_ unspecified,3761
Orbital granuloma,3761
Orbital myositis,3761
Parasitic infestation of orbit,3761
Thyrotoxic exophthalmos,3762
Exophthalmic ophthalmoplegia,3762
Exophthalmos_ unspecified,3763
Constant exophthalmos,3763
Orbital hemorrhage,3763
Orbital edema or congestion,3763
Intermittent exophthalmos,3763
Pulsating exophthalmos,3763
Lateral displacement of globe,3763
Deformity of orbit_ unspecified,3764
Hypertelorism of orbit,3764
Exostosis of orbit,3764
Local deformities of orbit due to bone disease,3764
Orbital deformities associated with craniofacial deformities,3764
Atrophy of orbit,3764
Enlargement of orbit,3764
Deformity of orbit due to trauma or surgery,3764
Enophthalmos_ unspecified as to cause,3765
Enophthalmos due to atrophy of orbital tissue,3765
Enophthalmos due to trauma or surgery,3765
 Retained (old) foreign body following penetrating wound of orbit,3766
Orbital cysts,3768
Myopathy of extraocular muscles,3768
Other orbital disorders,3768
 Unspecified disorder of orbit,3769
Papilledema_ unspecified,3770
Papilledema associated with increased intracranial pressure,3770
Papilledema associated with decreased ocular pressure,3770
Papilledema associated with retinal disorder,3770
Foster-Kennedy syndrome,3770
Optic atrophy_ unspecified,3771
Primary optic atrophy,3771
Postinflammatory optic atrophy,3771
Optic atrophy associated with retinal dystrophies,3771
Glaucomatous atrophy [cupping] of optic disc,3771
Partial optic atrophy,3771
Hereditary optic atrophy,3771
Drusen of optic disc,3772
Crater-like holes of optic disc,3772
Coloboma of optic disc,3772
Pseudopapilledema,3772
Optic neuritis_ unspecified,3773
Optic papillitis,3773
Retrobulbar neuritis (acute),3773
Nutritional optic neuropathy,3773
Toxic optic neuropathy,3773
Other optic neuritis,3773
Ischemic optic neuropathy,3774
Hemorrhage in optic nerve sheaths,3774
Optic nerve hypoplasia,3774
Other disorders of optic nerve,3774
Disorders of optic chiasm associated with pituitary neoplasms and disorders,3775
Disorders of optic chiasm associated with other neoplasms,3775
Disorders of optic chiasm associated with vascular disorders,3775
Disorders of optic chiasm associated with inflammatory disorders,3775
Disorders of other visual pathways associated with neoplasms,3776
Disorders of other visual pathways associated with vascular disorders,3776
Disorders of other visual pathways associated with inflammatory disorders,3776
Disorders of visual cortex associated with neoplasms,3777
Disorders of visual cortex associated with vascular disorders,3777
Disorders of visual cortex associated with inflammatory disorders,3777
Cortical blindness,3777
 Unspecified disorder of optic nerve and visual pathways,3779
Esotropia_ unspecified,3780
Monocular esotropia,3780
Monocular esotropia with A pattern,3780
Monocular esotropia with V pattern,3780
Monocular esotropia with other noncomitancies,3780
Alternating esotropia,3780
Alternating esotropia with A pattern,3780
Alternating esotropia with V pattern,3780
Alternating esotropia with other noncomitancies,3780
Exotropia_ unspecified,3781
Monocular exotropia,3781
Monocular exotropia with A pattern,3781
Monocular exotropia with V pattern,3781
Monocular exotropia with other noncomitancies,3781
Alternating exotropia,3781
Alternating exotropia with A pattern,3781
Alternating exotropia with V pattern,3781
Alternating exotropia with other noncomitancies,3781
Intermittent heterotropia_ unspecified,3782
Intermittent esotropia_ monocular,3782
Intermittent esotropia_ alternating,3782
Intermittent exotropia_ monocular,3782
Intermittent exotropia_ alternating,3782
Heterotropia_ unspecified,3783
Hypertropia,3783
Hypotropia,3783
Cyclotropia,3783
Monofixation syndrome,3783
Accommodative component in esotropia,3783
Heterophoria_ unspecified,3784
Esophoria,3784
Exophoria,3784
Vertical heterophoria,3784
Cyclophoria,3784
Alternating hyperphoria,3784
Paralytic strabismus_ unspecified,3785
Third or oculomotor nerve palsy_ partial,3785
Third or oculomotor nerve palsy_ total,3785
Fourth or trochlear nerve palsy,3785
Sixth or abducens nerve palsy,3785
External ophthalmoplegia,3785
Total ophthalmoplegia,3785
Mechanical strabismus_ unspecified,3786
Brown's (tendon) sheath syndrome,3786
Mechanical strabismus from other musculofascial disorders,3786
Limited duction associated with other conditions,3786
Duane's syndrome,3787
Progressive external ophthalmoplegia,3787
Strabismus in other neuromuscular disorders,3787
Palsy of conjugate gaze,3788
Spasm of conjugate gaze,3788
Convergence insufficiency or palsy,3788
Convergence excess or spasm,3788
Anomalies of divergence,3788
Internuclear ophthalmoplegia,3788
Other dissociated deviation of eye movements,3788
 Unspecified disorder of eye movements,3789
Scleritis_ unspecified,3790
Episcleritis periodica fugax,3790
Nodular episcleritis,3790
Anterior scleritis,3790
Scleromalacia perforans,3790
Scleritis with corneal involvement,3790
Brawny scleritis,3790
Posterior scleritis,3790
Other scleritis and episcleritis,3790
Scleral ectasia,3791
Staphyloma posticum,3791
Equatorial staphyloma,3791
Anterior staphyloma_ localized,3791
Ring staphyloma,3791
Other degenerative disorders of sclera,3791
Other disorders of sclera,3791
Vitreous degeneration,3792
Crystalline deposits in vitreous,3792
Vitreous hemorrhage,3792
Other vitreous opacities,3792
Vitreous membranes and strands,3792
Vitreous prolapse,3792
Vitreomacular adhesion,3792
Other disorders of vitreous,3792
Aphakia,3793
Subluxation of lens,3793
Anterior dislocation of lens,3793
Posterior dislocation of lens,3793
Other disorders of lens,3793
Abnormal pupillary function_ unspecified,3794
Anisocoria,3794
Miosis (persistent)_ not due to miotics,3794
Mydriasis (persistent)_ not due to mydriatics,3794
Argyll Robertson pupil_ atypical,3794
Tonic pupillary reaction,3794
Other anomalies of pupillary function,3794
Nystagmus_ unspecified,3795
Congenital nystagmus,3795
Latent nystagmus,3795
Visual deprivation nystagmus,3795
Nystagmus associated with disorders of the vestibular system,3795
Dissociated nystagmus,3795
Other forms of nystagmus,3795
Deficiencies of saccadic eye movements,3795
Deficiencies of smooth pursuit movements,3795
Other irregularities of eye movements,3795
Inflammation (infection) of postprocedural bleb_ unspecified,3796
Inflammation (infection) of postprocedural bleb_ stage 1,3796
Inflammation (infection) of postprocedural bleb_ stage 2,3796
Inflammation (infection) of postprocedural bleb_ stage 3,3796
 Other specified disorders of eye and adnexa,3798
Disorder of eye_ unspecified,3799
Pain in or around eye,3799
Swelling or mass of eye,3799
Redness or discharge of eye,3799
Other ill-defined disorders of eye,3799
Perichondritis of pinna_ unspecified,3800
Acute perichondritis of pinna,3800
Chronic perichondritis of pinna,3800
Chondritis of pinna,3800
Infective otitis externa_ unspecified,3801
Acute infection of pinna,3801
Acute swimmers' ear,3801
Other acute infections of external ear,3801
Malignant otitis externa,3801
Chronic mycotic otitis externa,3801
Other chronic infective otitis externa,3801
Cholesteatoma of external ear,3802
Other acute otitis externa,3802
Other chronic otitis externa,3802
Disorder of pinna_ unspecified,3803
Hematoma of auricle or pinna,3803
Acquired deformities of auricle or pinna,3803
Other noninfectious disorders of pinna,3803
 Impacted cerumen,3804
Acquired stenosis of external ear canal_ unspecified as to cause,3805
Acquired stenosis of external ear canal secondary to trauma,3805
Acquired stenosis of external ear canal secondary to surgery,3805
Acquired stenosis of external ear canal secondary to inflammation,3805
Exostosis of external ear canal,3808
Other disorders of external ear,3808
 Unspecified disorder of external ear,3809
Acute nonsuppurative otitis media_ unspecified,3810
Acute serous otitis media,3810
Acute mucoid otitis media,3810
Acute sanguinous otitis media,3810
Acute allergic serous otitis media,3810
Acute allergic mucoid otitis media,3810
Acute allergic sanguinous otitis media,3810
Chronic serous otitis media_ simple or unspecified,3811
Other chronic serous otitis media,3811
Chronic mucoid otitis media_ simple or unspecified,3812
Other chronic mucoid otitis media,3812
 Other and unspecified chronic nonsuppurative otitis media,3813
 Nonsuppurative otitis media_ not specified as acute or chronic,3814
Eustachian salpingitis_ unspecified,3815
Acute Eustachian salpingitis,3815
Chronic Eustachian salpingitis,3815
Obstruction of Eustachian tube_ unspecified,3816
Osseous obstruction of Eustachian tube,3816
Intrinsic cartilagenous obstruction of Eustachian tube,3816
Extrinsic cartilagenous obstruction of Eustachian tube,3816
 Patulous Eustachian tube,3817
Dysfunction of Eustachian tube,3818
Other disorders of Eustachian tube,3818
 Unspecified Eustachian tube disorder,3819
Acute suppurative otitis media without spontaneous rupture of eardrum,3820
Acute suppurative otitis media with spontaneous rupture of eardrum,3820
Acute suppurative otitis media in diseases classified elsewhere,3820
 Chronic tubotympanic suppurative otitis media,3821
 Chronic atticoantral suppurative otitis media,3822
 Unspecified chronic suppurative otitis media,3823
 Unspecified suppurative otitis media,3824
 Unspecified otitis media,3829
Acute mastoiditis without complications,3830
Subperiosteal abscess of mastoid,3830
Acute mastoiditis with other complications,3830
 Chronic mastoiditis,3831
Petrositis_ unspecified,3832
Acute petrositis,3832
Chronic petrositis,3832
Postmastoidectomy complication_ unspecified,3833
Mucosal cyst of postmastoidectomy cavity,3833
Recurrent cholesteatoma of postmastoidectomy cavity,3833
Granulations of postmastoidectomy cavity,3833
Postauricular fistula,3838
Other disorders of mastoid,3838
 Unspecified mastoiditis,3839
Acute myringitis_ unspecified,3840
Bullous myringitis,3840
Other acute myringitis without mention of otitis media,3840
 Chronic myringitis without mention of otitis media,3841
Perforation of tympanic membrane_ unspecified,3842
Central perforation of tympanic membrane,3842
Attic perforation of tympanic membrane,3842
Other marginal perforation of tympanic membrane,3842
Multiple perforations of tympanic membrane,3842
Total perforation of tympanic membrane,3842
Atrophic flaccid tympanic membrane,3848
Atrophic nonflaccid tympanic membrane,3848
 Unspecified disorder of tympanic membrane,3849
Tympanosclerosis_ unspecified as to involvement,3850
Tympanosclerosis involving tympanic membrane only,3850
Tympanosclerosis involving tympanic membrane and ear ossicles,3850
Tympanosclerosis involving tympanic membrane_ ear ossicles_ and middle ear,3850
Tympanosclerosis involving other combination of structures,3850
Adhesive middle ear disease_ unspecified as to involvement,3851
Adhesions of drum head to incus,3851
Adhesions of drum head to stapes,3851
Adhesions of drum head to promontorium,3851
Other middle ear adhesions and combinations,3851
Impaired mobility of malleus,3852
Impaired mobility of other ear ossicles,3852
Discontinuity or dislocation of ear ossicles,3852
Partial loss or necrosis of ear ossicles,3852
Cholesteatoma_ unspecified,3853
Cholesteatoma of attic,3853
Cholesteatoma of middle ear,3853
Cholesteatoma of middle ear and mastoid,3853
Diffuse cholesteatosis of middle ear and mastoid,3853
Cholesterin granuloma of middle ear and mastoid,3858
Retained foreign body of middle ear,3858
Other disorders of middle ear and mastoid,3858
 Unspecified disorder of middle ear and mastoid,3859
M�ni�re's disease_ unspecified,3860
Active M�ni�re's disease_ cochleovestibular,3860
Active M�ni�re's disease_ cochlear,3860
Active M�ni�re's disease_ vestibular,3860
Inactive M�ni�re's disease,3860
Peripheral vertigo_ unspecified,3861
Benign paroxysmal positional vertigo,3861
Vestibular neuronitis,3861
Other peripheral vertigo,3861
 Vertigo of central origin,3862
Labyrinthitis_ unspecified,3863
Serous labyrinthitis,3863
Circumscribed labyrinthitis,3863
Suppurative labyrinthitis,3863
Toxic labyrinthitis,3863
Viral labyrinthitis,3863
Labyrinthine fistula_ unspecified,3864
Round window fistula,3864
Oval window fistula,3864
Semicircular canal fistula,3864
Labyrinthine fistula of combined sites,3864
Labyrinthine dysfunction_ unspecified,3865
Hyperactive labyrinth_ unilateral,3865
Hyperactive labyrinth_ bilateral,3865
Hypoactive labyrinth_ unilateral,3865
Hypoactive labyrinth_ bilateral,3865
Loss of labyrinthine reactivity_ unilateral,3865
Loss of labyrinthine reactivity_ bilateral,3865
Other forms and combinations of labyrinthine dysfunction,3865
 Other disorders of labyrinth,3868
 Unspecified vertiginous syndromes and labyrinthine disorders,3869
 Otosclerosis involving oval window_ nonobliterative,3870
 Otosclerosis involving oval window_ obliterative,3871
 Cochlear otosclerosis,3872
 Other otosclerosis,3878
 Otosclerosis_ unspecified,3879
Degenerative and vascular disorders_ unspecified,3880
Presbyacusis,3880
Transient ischemic deafness,3880
Noise effects on inner ear_ unspecified,3881
Acoustic trauma (explosive) to ear,3881
Noise-induced hearing loss,3881
 Sudden hearing loss_ unspecified,3882
Tinnitus_ unspecified,3883
Subjective tinnitus,3883
Objective tinnitus,3883
Abnormal auditory perception_ unspecified,3884
Diplacusis,3884
Hyperacusis,3884
Impairment of auditory discrimination,3884
Auditory recruitment,3884
Acquired auditory processing disorder,3884
 Disorders of acoustic nerve,3885
Otorrhea_ unspecified,3886
Cerebrospinal fluid otorrhea,3886
Other otorrhea,3886
Otalgia_ unspecified,3887
Otogenic pain,3887
Referred otogenic pain,3887
 Other disorders of ear,3888
 Unspecified disorder of ear,3889
Conductive hearing loss_ unspecified,3890
Conductive hearing loss_ external ear,3890
Conductive hearing loss_ tympanic membrane,3890
Conductive hearing loss_ middle ear,3890
Conductive hearing loss_ inner ear,3890
Conductive hearing loss_ unilateral,3890
Conductive hearing loss_ bilateral,3890
Conductive hearing loss of combined types,3890
Sensorineural hearing loss_ unspecified,3891
Sensory hearing loss_ bilateral,3891
Neural hearing loss_ bilateral,3891
Neural hearing loss_ unilateral,3891
Central hearing loss,3891
Sensorineural hearing loss_ unilateral,3891
Sensorineural hearing loss_ asymmetrical,3891
Sensory hearing loss_ unilateral,3891
Sensorineural hearing loss_ bilateral,3891
Mixed hearing loss_ unspecified,3892
Mixed hearing loss_ unilateral,3892
Mixed hearing loss_ bilateral,3892
 Deaf_ nonspeaking_ not elsewhere classifiable,3897
 Other specified forms of hearing loss,3898
 Unspecified hearing loss,3899
.  Rheumatic fever without mention of heart involvement,390
 Acute rheumatic pericarditis,3910
 Acute rheumatic endocarditis,3911
 Acute rheumatic myocarditis,3912
 Other acute rheumatic heart disease,3918
 Acute rheumatic heart disease_ unspecified,3919
 Rheumatic chorea with heart involvement,3920
 Rheumatic chorea without mention of heart involvement,3929
.  Chronic rheumatic pericarditis,393
 Mitral stenosis,3940
