DIAGNOSIS CODE,LONG DESCRIPTION,SHORT DESCRIPTION
175_0,Malignant neoplasm of nipple and areola of male breast,Mal neo male nipple
175_9,Malignant neoplasm of other and unspecified sites of male breast,Mal neo male breast NEC
176_0,"Kaposi's sarcoma, skin",Skin - kaposi's sarcoma
176_1,"Kaposi's sarcoma, soft tissue",Sft tisue - kpsi's srcma
176_2,"Kaposi's sarcoma, palate",Palate - kpsi's sarcoma
176_3,"Kaposi's sarcoma, gastrointestinal sites",GI sites - kpsi's srcoma
176_4,"Kaposi's sarcoma, lung",Lung - kaposi's sarcoma
176_5,"Kaposi's sarcoma, lymph nodes",Lym nds - kpsi's sarcoma
176_8,"Kaposi's sarcoma, other specified sites",Spf sts - kpsi's sarcoma
176_9,"Kaposi's sarcoma, unspecified site",Kaposi's sarcoma NOS
179,"Malignant neoplasm of uterus, part unspecified",Malig neopl uterus NOS
180_0,Malignant neoplasm of endocervix,Malig neo endocervix
180_1,Malignant neoplasm of exocervix,Malig neo exocervix
180_8,Malignant neoplasm of other specified sites of cervix,Malig neo cervix NEC
180_9,"Malignant neoplasm of cervix uteri, unspecified site",Mal neo cervix uteri NOS
181,Malignant neoplasm of placenta,Malignant neopl placenta
182_0,"Malignant neoplasm of corpus uteri, except isthmus",Malig neo corpus uteri
182_1,Malignant neoplasm of isthmus,Mal neo uterine isthmus
182_8,Malignant neoplasm of other specified sites of body of uterus,Mal neo body uterus NEC
183_0,Malignant neoplasm of ovary,Malign neopl ovary
183_2,Malignant neoplasm of fallopian tube,Mal neo fallopian tube
183_3,Malignant neoplasm of broad ligament of uterus,Mal neo broad ligament
183_4,Malignant neoplasm of parametrium,Malig neo parametrium
183_5,Malignant neoplasm of round ligament of uterus,Mal neo round ligament
183_8,Malignant neoplasm of other specified sites of uterine adnexa,Mal neo adnexa NEC
183_9,"Malignant neoplasm of uterine adnexa, unspecified site",Mal neo adnexa NOS
184_0,Malignant neoplasm of vagina,Malign neopl vagina
184_1,Malignant neoplasm of labia majora,Mal neo labia majora
184_2,Malignant neoplasm of labia minora,Mal neo labia minora
184_3,Malignant neoplasm of clitoris,Malign neopl clitoris
184_4,"Malignant neoplasm of vulva, unspecified site",Malign neopl vulva NOS
184_8,Malignant neoplasm of other specified sites of female genital organs,Mal neo female genit NEC
184_9,"Malignant neoplasm of female genital organ, site unspecified",Mal neo female genit NOS
185,Malignant neoplasm of prostate,Malign neopl prostate
186_0,Malignant neoplasm of undescended testis,Mal neo undescend testis
186_9,Malignant neoplasm of other and unspecified testis,Malig neo testis NEC
187_1,Malignant neoplasm of prepuce,Malign neopl prepuce
187_2,Malignant neoplasm of glans penis,Malig neo glans penis
187_3,Malignant neoplasm of body of penis,Malig neo penis body
187_4,"Malignant neoplasm of penis, part unspecified",Malig neo penis NOS
187_5,Malignant neoplasm of epididymis,Malig neo epididymis
187_6,Malignant neoplasm of spermatic cord,Mal neo spermatic cord
187_7,Malignant neoplasm of scrotum,Malign neopl scrotum
187_8,Malignant neoplasm of other specified sites of male genital organs,Mal neo male genital NEC
187_9,"Malignant neoplasm of male genital organ, site unspecified",Mal neo male genital NOS
188_0,Malignant neoplasm of trigone of urinary bladder,Mal neo bladder-trigone
188_1,Malignant neoplasm of dome of urinary bladder,Mal neo bladder-dome
188_2,Malignant neoplasm of lateral wall of urinary bladder,Mal neo bladder-lateral
188_3,Malignant neoplasm of anterior wall of urinary bladder,Mal neo bladder-anterior
188_4,Malignant neoplasm of posterior wall of urinary bladder,Mal neo bladder-post
188_5,Malignant neoplasm of bladder neck,Mal neo bladder neck
188_6,Malignant neoplasm of ureteric orifice,Mal neo ureteric orifice
188_7,Malignant neoplasm of urachus,Malig neo urachus
188_8,Malignant neoplasm of other specified sites of bladder,Malig neo bladder NEC
188_9,"Malignant neoplasm of bladder, part unspecified",Malig neo bladder NOS
189_0,"Malignant neoplasm of kidney, except pelvis",Malig neopl kidney
189_1,Malignant neoplasm of renal pelvis,Malig neo renal pelvis
189_2,Malignant neoplasm of ureter,Malign neopl ureter
189_3,Malignant neoplasm of urethra,Malign neopl urethra
189_4,Malignant neoplasm of paraurethral glands,Mal neo paraurethral
189_8,Malignant neoplasm of other specified sites of urinary organs,Mal neo urinary NEC
189_9,"Malignant neoplasm of urinary organ, site unspecified",Mal neo urinary NOS
190_0,"Malignant neoplasm of eyeball, except conjunctiva, cornea, retina, and choroid",Malign neopl eyeball
190_1,Malignant neoplasm of orbit,Malign neopl orbit
190_2,Malignant neoplasm of lacrimal gland,Mal neo lacrimal gland
190_3,Malignant neoplasm of conjunctiva,Mal neo conjunctiva
190_4,Malignant neoplasm of cornea,Malign neopl cornea
190_5,Malignant neoplasm of retina,Malign neopl retina
190_6,Malignant neoplasm of choroid,Malign neopl choroid
190_7,Malignant neoplasm of lacrimal duct,Mal neo lacrimal duct
190_8,Malignant neoplasm of other specified sites of eye,Malign neopl eye NEC
190_9,"Malignant neoplasm of eye, part unspecified",Malign neopl eye NOS
191_0,"Malignant neoplasm of cerebrum, except lobes and ventricles",Malign neopl cerebrum
191_1,Malignant neoplasm of frontal lobe,Malig neo frontal lobe
191_2,Malignant neoplasm of temporal lobe,Mal neo temporal lobe
191_3,Malignant neoplasm of parietal lobe,Mal neo parietal lobe
191_4,Malignant neoplasm of occipital lobe,Mal neo occipital lobe
191_5,Malignant neoplasm of ventricles,Mal neo cereb ventricle
191_6,Malignant neoplasm of cerebellum nos,Mal neo cerebellum NOS
191_7,Malignant neoplasm of brain stem,Mal neo brain stem
191_8,Malignant neoplasm of other parts of brain,Malig neo brain NEC
191_9,"Malignant neoplasm of brain, unspecified",Malig neo brain NOS
192_0,Malignant neoplasm of cranial nerves,Mal neo cranial nerves
192_1,Malignant neoplasm of cerebral meninges,Mal neo cerebral mening
192_2,Malignant neoplasm of spinal cord,Mal neo spinal cord
192_3,Malignant neoplasm of spinal meninges,Mal neo spinal meninges
192_8,Malignant neoplasm of other specified sites of nervous system,Mal neo nervous syst NEC
192_9,"Malignant neoplasm of nervous system, part unspecified",Mal neo nervous syst NOS
193,Malignant neoplasm of thyroid gland,Malign neopl thyroid
194_0,Malignant neoplasm of adrenal gland,Malign neopl adrenal
194_1,Malignant neoplasm of parathyroid gland,Malig neo parathyroid
194_3,Malignant neoplasm of pituitary gland and craniopharyngeal duct,Malig neo pituitary
194_4,Malignant neoplasm of pineal gland,Malign neo pineal gland
194_5,Malignant neoplasm of carotid body,Mal neo carotid body
194_6,Malignant neoplasm of aortic body and other paraganglia,Mal neo paraganglia NEC
194_8,Malignant neoplasm of other endocrine glands and related structures,Mal neo endocrine NEC
194_9,"Malignant neoplasm of endocrine gland, site unspecified",Mal neo endocrine NOS
195_0,"Malignant neoplasm of head, face, and neck",Mal neo head/face/neck
195_1,Malignant neoplasm of thorax,Malign neopl thorax
195_2,Malignant neoplasm of abdomen,Malig neo abdomen
195_3,Malignant neoplasm of pelvis,Malign neopl pelvis
195_4,Malignant neoplasm of upper limb,Malign neopl arm
195_5,Malignant neoplasm of lower limb,Malign neopl leg
195_8,Malignant neoplasm of other specified sites,Malig neo site NEC
196_0,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face, and neck",Mal neo lymph-head/neck
196_1,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes,Mal neo lymph-intrathor
196_2,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,Mal neo lymph intra-abd
196_3,Secondary and unspecified malignant neoplasm of lymph nodes of axilla and upper limb,Mal neo lymph-axilla/arm
196_5,Secondary and unspecified malignant neoplasm of lymph nodes of inguinal region and lower limb,Mal neo lymph-inguin/leg
196_6,Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes,Mal neo lymph-intrapelv
196_8,Secondary and unspecified malignant neoplasm of lymph nodes of multiple sites,Mal neo lymph node-mult
196_9,"Secondary and unspecified malignant neoplasm of lymph nodes, site unspecified",Mal neo lymph node NOS
197_0,Secondary malignant neoplasm of lung,Secondary malig neo lung
197_1,Secondary malignant neoplasm of mediastinum,Sec mal neo mediastinum
197_2,Secondary malignant neoplasm of pleura,Second malig neo pleura
197_3,Secondary malignant neoplasm of other respiratory organs,Sec malig neo resp NEC
197_4,Secondary malignant neoplasm of small intestine including duodenum,Sec malig neo sm bowel
197_5,Secondary malignant neoplasm of large intestine and rectum,Sec malig neo lg bowel
197_6,Secondary malignant neoplasm of retroperitoneum and peritoneum,Sec mal neo peritoneum
197_7,"Malignant neoplasm of liver, secondary",Second malig neo liver
197_8,Secondary malignant neoplasm of other digestive organs and spleen,Sec mal neo GI NEC
198_0,Secondary malignant neoplasm of kidney,Second malig neo kidney
198_1,Secondary malignant neoplasm of other urinary organs,Sec malig neo urin NEC
198_2,Secondary malignant neoplasm of skin,Secondary malig neo skin
198_3,Secondary malignant neoplasm of brain and spinal cord,Sec mal neo brain/spine
198_4,Secondary malignant neoplasm of other parts of nervous system,Sec malig neo nerve NEC
198_5,Secondary malignant neoplasm of bone and bone marrow,Secondary malig neo bone
198_6,Secondary malignant neoplasm of ovary,Second malig neo ovary
198_7,Secondary malignant neoplasm of adrenal gland,Second malig neo adrenal
198_8_1,Secondary malignant neoplasm of breast,Second malig neo breast
198_8_2,Secondary malignant neoplasm of genital organs,Second malig neo genital
198_8_9,Secondary malignant neoplasm of other specified sites,Secondary malig neo NEC
199_0,Disseminated malignant neoplasm without specification of site,Malig neo disseminated
199_1,Other malignant neoplasm without specification of site,Malignant neoplasm NOS
199_2,Malignant neoplasm associated with transplant organ,Malig neopl-transp organ
200_0_0,"Reticulosarcoma, unspecified site, extranodal and solid organ sites",Retclsrc unsp xtrndl org
200_0_1,"Reticulosarcoma, lymph nodes of head, face, and neck",Reticulosarcoma head
200_0_2,"Reticulosarcoma, intrathoracic lymph nodes",Reticulosarcoma thorax
200_0_3,"Reticulosarcoma, intra-abdominal lymph nodes",Reticulosarcoma abdom
200_0_4,"Reticulosarcoma, lymph nodes of axilla and upper limb",Reticulosarcoma axilla
200_0_5,"Reticulosarcoma, lymph nodes of inguinal region and lower limb",Reticulosarcoma inguin
200_0_6,"Reticulosarcoma, intrapelvic lymph nodes",Reticulosarcoma pelvic
200_0_7,"Reticulosarcoma, spleen",Reticulosarcoma spleen
200_0_8,"Reticulosarcoma, lymph nodes of multiple sites",Reticulosarcoma mult
200_1_0,"Lymphosarcoma, unspecified site, extranodal and solid organ sites",Lymphsrc unsp xtrndl org
200_1_1,"Lymphosarcoma, lymph nodes of head, face, and neck",Lymphosarcoma head
200_1_2,"Lymphosarcoma, intrathoracic lymph nodes",Lymphosarcoma thorax
200_1_3,"Lymphosarcoma, intra-abdominal lymph nodes",Lymphosarcoma abdom
200_1_4,"Lymphosarcoma, lymph nodes of axilla and upper limb",Lymphosarcoma axilla
200_1_5,"Lymphosarcoma, lymph nodes of inguinal region and lower limb",Lymphosarcoma inguin
200_1_6,"Lymphosarcoma, intrapelvic lymph nodes",Lymphosarcoma pelvic
200_1_7,"Lymphosarcoma, spleen",Lymphosarcoma spleen
200_1_8,"Lymphosarcoma, lymph nodes of multiple sites",Lymphosarcoma mult
200_2_0,"Burkitt's tumor or lymphoma, unspecified site, extranodal and solid organ sites",Brkt tmr unsp xtrndl org
200_2_1,"Burkitt's tumor or lymphoma, lymph nodes of head, face, and neck",Burkitt's tumor head
200_2_2,"Burkitt's tumor or lymphoma, intrathoracic lymph nodes",Burkitt's tumor thorax
200_2_3,"Burkitt's tumor or lymphoma, intra-abdominal lymph nodes",Burkitt's tumor abdom
200_2_4,"Burkitt's tumor or lymphoma, lymph nodes of axilla and upper limb",Burkitt's tumor axilla
200_2_5,"Burkitt's tumor or lymphoma, lymph nodes of inguinal region and lower limb",Burkitt's tumor inguin
200_2_6,"Burkitt's tumor or lymphoma, intrapelvic lymph nodes",Burkitt's tumor pelvic
200_2_7,"Burkitt's tumor or lymphoma, spleen",Burkitt's tumor spleen
200_2_8,"Burkitt's tumor or lymphoma, lymph nodes of multiple sites",Burkitt's tumor mult
200_3_0,"Marginal zone lymphoma, unspecified site, extranodal and solid organ sites",Margnl zone lym xtrndl
200_3_1,"Marginal zone lymphoma, lymph nodes of head, face, and neck",Margin zone lym head
200_3_2,"Marginal zone lymphoma, intrathoracic lymph nodes",Margin zone lym thorax
200_3_3,"Marginal zone lymphoma, intraabdominal lymph nodes",Margin zone lym abdom
200_3_4,"Marginal zone lymphoma, lymph nodes of axilla and upper limb",Margin zone lym axilla
200_3_5,"Marginal zone lymphoma, lymph nodes of inguinal region and lower limb",Margin zone lym inguin
200_3_6,"Marginal zone lymphoma, intrapelvic lymph nodes",Margin zone lym pelvic
200_3_7,"Marginal zone lymphoma, spleen",Margin zone lymph spleen
200_3_8,"Marginal zone lymphoma, lymph nodes of multiple sites",Margin zone lymph multip
200_4_0,"Mantle cell lymphoma, unspecified site, extranodal and solid organ sites",Mantle cell lym xtrrndl
200_4_1,"Mantle cell lymphoma, lymph nodes of head, face, and neck",Mantle cell lymph head
200_4_2,"Mantle cell lymphoma, intrathoracic lymph nodes",Mantle cell lymph thorax
200_4_3,"Mantle cell lymphoma, intra-abdominal lymph nodes",Mantle cell lymph abdom
200_4_4,"Mantle cell lymphoma, lymph nodes of axilla and upper limb",Mantle cell lymph axilla
200_4_5,"Mantle cell lymphoma, lymph nodes of inguinal region and lower limb",Mantle cell lymph inguin
200_4_6,"Mantle cell lymphoma, intrapelvic lymph nodes",Mantle cell lymph pelvic
200_4_7,"Mantle cell lymphoma, spleen",Mantle cell lymph spleen
200_4_8,"Mantle cell lymphoma, lymph nodes of multiple sites",Mantle cell lymph multip
200_5_0,"Primary central nervous system lymphoma, unspecified site, extranodal and solid organ sites",Primary CNS lymph xtrndl
200_5_1,"Primary central nervous system lymphoma, lymph nodes of head, face, and neck",Primary CNS lymph head
200_5_2,"Primary central nervous system lymphoma, intrathoracic lymph nodes",Primary CNS lymph thorax
200_5_3,"Primary central nervous system lymphoma, intra-abdominal lymph nodes",Primary CNS lymph abdom
200_5_4,"Primary central nervous system lymphoma, lymph nodes of axilla and upper limb",Primary CNS lymph axilla
200_5_5,"Primary central nervous system lymphoma, lymph nodes of inguinal region and lower limb",Primary CNS lym inguin
200_5_6,"Primary central nervous system lymphoma, intrapelvic lymph nodes",Primary CNS lymph pelvic
200_5_7,"Primary central nervous system lymphoma, spleen",Primary CNS lymph spleen
200_5_8,"Primary central nervous system lymphoma, lymph nodes of multiple sites",Primary CNS lymph multip
200_6_0,"Anaplastic large cell lymphoma, unspecified site, extranodal and solid organ sites",Anaplastic lymph xtrndl
200_6_1,"Anaplastic large cell lymphoma, lymph nodes of head, face, and neck",Anaplastic lymph head
200_6_2,"Anaplastic large cell lymphoma, intrathoracic lymph nodes",Anaplastic lymph thorax
200_6_3,"Anaplastic large cell lymphoma, intra-abdominal lymph nodes",Anaplastic lymph abdom
200_6_4,"Anaplastic large cell lymphoma, lymph nodes of axilla and upper limb",Anaplastic lymph axilla
200_6_5,"Anaplastic large cell lymphoma, lymph nodes of inguinal region and lower limb",Anaplastic lymph inguin
200_6_6,"Anaplastic large cell lymphoma, intrapelvic lymph nodes",Anaplastic lymph pelvic
200_6_7,"Anaplastic large cell lymphoma, spleen",Anaplastic lymph spleen
200_6_8,"Anaplastic large cell lymphoma, lymph nodes of multiple sites",Anaplastic lymph multip
200_7_0,"Large cell lymphoma, unspecified site, extranodal and solid organ sites",Large cell lymph xtrndl
200_7_1,"Large cell lymphoma, lymph nodes of head, face, and neck",Large cell lymphoma head
200_7_2,"Large cell lymphoma, intrathoracic lymph nodes",Large cell lymph thorax
200_7_3,"Large cell lymphoma, intra-abdominal lymph nodes",Large cell lymph abdom
200_7_4,"Large cell lymphoma, lymph nodes of axilla and upper limb",Large cell lymph axilla
200_7_5,"Large cell lymphoma, lymph nodes of inguinal region and lower limb",Large cell lymph inguin
200_7_6,"Large cell lymphoma, intrapelvic lymph nodes",Large cell lymph pelvic
200_7_7,"Large cell lymphoma, spleen",Large cell lymph spleen
200_7_8,"Large cell lymphoma, lymph nodes of multiple sites",Large cell lymph multip
200_8_0,"Other named variants of lymphosarcoma and reticulosarcoma, unspecified site, extranodal and solid organ sites",Oth varn unsp xtrndl org
200_8_1,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of head, face, and neck",Mixed lymphosarc head
200_8_2,"Other named variants of lymphosarcoma and reticulosarcoma,intrathoracic lymph nodes",Mixed lymphosarc thorax
200_8_3,"Other named variants of lymphosarcoma and reticulosarcoma, intra-abdominal lymph nodes",Mixed lymphosarc abdom
200_8_4,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of axilla and upper limb",Mixed lymphosarc axilla
200_8_5,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of inguinal region and lower limb",Mixed lymphosarc inguin
200_8_6,"Other named variants of lymphosarcoma and reticulosarcoma, intrapelvic lymph nodes",Mixed lymphosarc pelvic
200_8_7,"Other named variants of lymphosarcoma and reticulosarcoma, spleen",Mixed lymphosarc spleen
200_8_8,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of multiple sites",Mixed lymphosarc mult
201_0_0,"Hodgkin's paragranuloma, unspecified site, extranodal and solid organ sites",Hdgk prg unsp xtrndl org
201_0_1,"Hodgkin's paragranuloma, lymph nodes of head, face, and neck",Hodgkins paragran head
201_0_2,"Hodgkin's paragranuloma, intrathoracic lymph nodes",Hodgkins paragran thorax
201_0_3,"Hodgkin's paragranuloma, intra-abdominal lymph nodes",Hodgkins paragran abdom
201_0_4,"Hodgkin's paragranuloma, lymph nodes of axilla and upper limb",Hodgkins paragran axilla
201_0_5,"Hodgkin's paragranuloma, lymph nodes of inguinal region and lower limb",Hodgkins paragran inguin
201_0_6,"Hodgkin's paragranuloma, intrapelvic lymph nodes",Hodgkins paragran pelvic
201_0_7,"Hodgkin's paragranuloma, spleen",Hodgkins paragran spleen
201_0_8,"Hodgkin's paragranuloma, lymph nodes of multiple sites",Hodgkins paragran mult
201_1_0,"Hodgkin's granuloma, unspecified site, extranodal and solid organ sites",Hdgk grn unsp xtrndl org
201_1_1,"Hodgkin's granuloma, lymph nodes of head, face, and neck",Hodgkins granulom head
201_1_2,"Hodgkin's granuloma, intrathoracic lymph nodes",Hodgkins granulom thorax
201_1_3,"Hodgkin's granuloma, intra-abdominal lymph nodes",Hodgkins granulom abdom
201_1_4,"Hodgkin's granuloma, lymph nodes of axilla and upper limb",Hodgkins granulom axilla
201_1_5,"Hodgkin's granuloma, lymph nodes of inguinal region and lower limb",Hodgkins granulom inguin
201_1_6,"Hodgkin's granuloma, intrapelvic lymph nodes",Hodgkins granulom pelvic
201_1_7,"Hodgkin's granuloma, spleen",Hodgkins granulom spleen
201_1_8,"Hodgkin's granuloma, lymph nodes of multiple sites",Hodgkins granulom mult
201_2_0,"Hodgkin's sarcoma, unspecified site, extranodal and solid organ sites",Hdgk src unsp xtrndl org
201_2_1,"Hodgkin's sarcoma, lymph nodes of head, face, and neck",Hodgkins sarcoma head
201_2_2,"Hodgkin's sarcoma, intrathoracic lymph nodes",Hodgkins sarcoma thorax
201_2_3,"Hodgkin's sarcoma, intra-abdominal lymph nodes",Hodgkins sarcoma abdom
201_2_4,"Hodgkin's sarcoma, lymph nodes of axilla and upper limb",Hodgkins sarcoma axilla
201_2_5,"Hodgkin's sarcoma, lymph nodes of inguinal region and lower limb",Hodgkins sarcoma inguin
201_2_6,"Hodgkin's sarcoma, intrapelvic lymph nodes",Hodgkins sarcoma pelvic
201_2_7,"Hodgkin's sarcoma, spleen",Hodgkins sarcoma spleen
201_2_8,"Hodgkin's sarcoma, lymph nodes of multiple sites",Hodgkins sarcoma mult
201_4_0,"Hodgkin's disease, lymphocytic-histiocytic predominance, unspecified site, extranodal and solid organ sites",Lym-hst unsp xtrndl orgn
201_4_1,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of head, face, and neck",Hodg lymph-histio head
201_4_2,"Hodgkin's disease, lymphocytic-histiocytic predominance, intrathoracic lymph nodes",Hodg lymph-histio thorax
201_4_3,"Hodgkin's disease, lymphocytic-histiocytic predominance, intra-abdominal lymph nodes",Hodg lymph-histio abdom
201_4_4,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of axilla and upper limb",Hodg lymph-histio axilla
201_4_5,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of inguinal region and lower limb",Hodg lymph-histio inguin
201_4_6,"Hodgkin's disease, lymphocytic-histiocytic predominance, intrapelvic lymph nodes",Hodg lymph-histio pelvic
201_4_7,"Hodgkin's disease, lymphocytic-histiocytic predominance, spleen",Hodg lymph-histio spleen
201_4_8,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of multiple sites",Hodg lymph-histio mult
201_5_0,"Hodgkin's disease, nodular sclerosis, unspecified site, extranodal and solid organ sites",Ndr sclr unsp xtrndl org
201_5_1,"Hodgkin's disease, nodular sclerosis, lymph nodes of head, face, and neck",Hodg nodul sclero head
201_5_2,"Hodgkin's disease, nodular sclerosis, intrathoracic lymph nodes",Hodg nodul sclero thorax
201_5_3,"Hodgkin's disease, nodular sclerosis, intra-abdominal lymph nodes",Hodg nodul sclero abdom
201_5_4,"Hodgkin's disease, nodular sclerosis, lymph nodes of axilla and upper limb",Hodg nodul sclero axilla
201_5_5,"Hodgkin's disease, nodular sclerosis, lymph nodes of inguinal region and lower limb",Hodg nodul sclero inguin
201_5_6,"Hodgkin's disease, nodular sclerosis, intrapelvic lymph nodes",Hodg nodul sclero pelvic
201_5_7,"Hodgkin's disease, nodular sclerosis, spleen",Hodg nodul sclero spleen
201_5_8,"Hodgkin's disease, nodular sclerosis, lymph nodes of multiple sites",Hodg nodul sclero mult
201_6_0,"Hodgkin's disease, mixed cellularity, unspecified site, extranodal and solid organ sites",Mxd celr unsp xtrndl org
201_6_1,"Hodgkin's disease, mixed cellularity, lymph nodes of head, face, and neck",Hodgkins mix cell head
201_6_2,"Hodgkin's disease, mixed cellularity, intrathoracic lymph nodes",Hodgkins mix cell thorax
201_6_3,"Hodgkin's disease, mixed cellularity, intra-abdominal lymph nodes",Hodgkins mix cell abdom
201_6_4,"Hodgkin's disease, mixed cellularity, lymph nodes of axilla and upper limb",Hodgkins mix cell axilla
201_6_5,"Hodgkin's disease, mixed cellularity, lymph nodes of inguinal region and lower limb",Hodgkins mix cell inguin
201_6_6,"Hodgkin's disease, mixed cellularity, intrapelvic lymph nodes",Hodgkins mix cell pelvic
201_6_7,"Hodgkin's disease, mixed cellularity, spleen",Hodgkins mix cell spleen
201_6_8,"Hodgkin's disease, mixed cellularity, lymph nodes of multiple sites",Hodgkins mix cell mult
201_7_0,"Hodgkin's disease, lymphocytic depletion, unspecified site, extranodal and solid organ sites",Lym dplt unsp xtrndl org
201_7_1,"Hodgkin's disease, lymphocytic depletion, lymph nodes of head, face, and neck",Hodg lymph deplet head
201_7_2,"Hodgkin's disease, lymphocytic depletion, intrathoracic lymph nodes",Hodg lymph deplet thorax
201_7_3,"Hodgkin's disease, lymphocytic depletion, intra-abdominal lymph nodes",Hodg lymph deplet abdom
201_7_4,"Hodgkin's disease, lymphocytic depletion, lymph nodes of axilla and upper limb",Hodg lymph deplet axilla
201_7_5,"Hodgkin's disease, lymphocytic depletion, lymph nodes of inguinal region and lower limb",Hodg lymph deplet inguin
201_7_6,"Hodgkin's disease, lymphocytic depletion, intrapelvic lymph nodes",Hodg lymph deplet pelvic
201_7_7,"Hodgkin's disease, lymphocytic depletion, spleen",Hodg lymph deplet spleen
201_7_8,"Hodgkin's disease, lymphocytic depletion, lymph nodes of multiple sites",Hodg lymph deplet mult
201_9_0,"Hodgkin's disease, unspecified type, unspecified site, extranodal and solid organ sites",Hdgk dis unsp xtrndl org
201_9_1,"Hodgkin's disease, unspecified type, lymph nodes of head, face, and neck",Hodgkins dis NOS head
201_9_2,"Hodgkin's disease, unspecified type, intrathoracic lymph nodes",Hodgkins dis NOS thorax
201_9_3,"Hodgkin's disease, unspecified type, intra-abdominal lymph nodes",Hodgkins dis NOS abdom
201_9_4,"Hodgkin's disease, unspecified type, lymph nodes of axilla and upper limb",Hodgkins dis NOS axilla
201_9_5,"Hodgkin's disease, unspecified type, lymph nodes of inguinal region and lower limb",Hodgkins dis NOS inguin
201_9_6,"Hodgkin's disease, unspecified type, intrapelvic lymph nodes",Hodgkins dis NOS pelvic
201_9_7,"Hodgkin's disease, unspecified type, spleen",Hodgkins dis NOS spleen
201_9_8,"Hodgkin's disease, unspecified type, lymph nodes of multiple sites",Hodgkins dis NOS mult
202_0_0,"Nodular lymphoma, unspecified site, extranodal and solid organ sites",Ndlr lym unsp xtrndl org
202_0_1,"Nodular lymphoma, lymph nodes of head, face, and neck",Nodular lymphoma head
202_0_2,"Nodular lymphoma, intrathoracic lymph nodes",Nodular lymphoma thorax
202_0_3,"Nodular lymphoma, intra-abdominal lymph nodes",Nodular lymphoma abdom
202_0_4,"Nodular lymphoma, lymph nodes of axilla and upper limb",Nodular lymphoma axilla
202_0_5,"Nodular lymphoma, lymph nodes of inguinal region and lower limb",Nodular lymphoma inguin
202_0_6,"Nodular lymphoma, intrapelvic lymph nodes",Nodular lymphoma pelvic
202_0_7,"Nodular lymphoma, spleen",Nodular lymphoma spleen
202_0_8,"Nodular lymphoma, lymph nodes of multiple sites",Nodular lymphoma mult
202_1_0,"Mycosis fungoides, unspecified site, extranodal and solid organ sites",Mycs fng unsp xtrndl org
202_1_1,"Mycosis fungoides, lymph nodes of head, face, and neck",Mycosis fungoides head
202_1_2,"Mycosis fungoides, intrathoracic lymph nodes",Mycosis fungoides thorax
202_1_3,"Mycosis fungoides, intra-abdominal lymph nodes",Mycosis fungoides abdom
202_1_4,"Mycosis fungoides, lymph nodes of axilla and upper limb",Mycosis fungoides axilla
202_1_5,"Mycosis fungoides, lymph nodes of inguinal region and lower limb",Mycosis fungoides inguin
202_1_6,"Mycosis fungoides, intrapelvic lymph nodes",Mycosis fungoides pelvic
202_1_7,"Mycosis fungoides, spleen",Mycosis fungoides spleen
202_1_8,"Mycosis fungoides, lymph nodes of multiple sites",Mycosis fungoides mult
202_2_0,"Sezary's disease, unspecified site, extranodal and solid organ sites",Szry dis unsp xtrndl org
202_2_1,"Sezary's disease, lymph nodes of head, face, and neck",Sezary's disease head
202_2_2,"Sezary's disease, intrathoracic lymph nodes",Sezary's disease thorax
202_2_3,"Sezary's disease, intra-abdominal lymph nodes",Sezary's disease abdom
202_2_4,"Sezary's disease, lymph nodes of axilla and upper limb",Sezary's disease axilla
202_2_5,"Sezary's disease, lymph nodes of inguinal region and lower limb",Sezary's disease inguin
202_2_6,"Sezary's disease, intrapelvic lymph nodes",Sezary's disease pelvic
202_2_7,"Sezary's disease, spleen",Sezary's disease spleen
202_2_8,"Sezary's disease, lymph nodes of multiple sites",Sezary's disease mult
202_3_0,"Malignant histiocytosis, unspecified site, extranodal and solid organ sites",Mlg hist unsp xtrndl org
202_3_1,"Malignant histiocytosis, lymph nodes of head, face, and neck",Mal histiocytosis head
202_3_2,"Malignant histiocytosis, intrathoracic lymph nodes",Mal histiocytosis thorax
202_3_3,"Malignant histiocytosis, intra-abdominal lymph nodes",Mal histiocytosis abdom
202_3_4,"Malignant histiocytosis, lymph nodes of axilla and upper limb",Mal histiocytosis axilla
202_3_5,"Malignant histiocytosis, lymph nodes of inguinal region and lower limb",Mal histiocytosis inguin
202_3_6,"Malignant histiocytosis, intrapelvic lymph nodes",Mal histiocytosis pelvic
202_3_7,"Malignant histiocytosis, spleen",Mal histiocytosis spleen
202_3_8,"Malignant histiocytosis, lymph nodes of multiple sites",Mal histiocytosis mult
202_4_0,"Leukemic reticuloendotheliosis, unspecified site, extranodal and solid organ sites",Lk rtctl unsp xtrndl org
